ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit
ABC989316, ,1/1/2013, , , ,Verified,30,ZIP3,MA,N,N,250,0,0,525.3,604,330
ABC989316, ,2/1/2013, , , ,Verified,30,ZIP3,MA,N,N,524,0,0,525.3,0,166
ABC989316, ,3/1/2013, , , ,Verified,30,ZIP3,MA,N,N,524,0,0,525.3,0,166
ABC989356, ,2/1/2013, , , ,Verified,59,ZIP2,NM,N,N,0,0,0,0,0,400
ABC989356, ,3/1/2013, , , ,Verified,59,ZIP2,NM,N,N,0,0,0,0,0,400
ABC989368, ,1/1/2013, , , ,Verified,28,ZIP5,NM,N,N,0,0,0,0,604,734
ABC989368, ,2/1/2013, , , ,Verified,28,ZIP5,NM,N,N,0,0,0,0,604,734
ABC989368, ,3/1/2013, , , ,Verified,28,ZIP5,NM,N,N,0,0,0,0,604,734
ABC989370,518,1/1/2013, ,518, ,Verified,27,ZIP5,NM,N,N,1010,0,0,0,0,32
ABC989370,518,2/1/2013, ,518, ,Verified,27,ZIP5,NM,N,N,1010,0,0,0,0,32
ABC989370,518,3/1/2013, ,518, ,Verified,27,ZIP5,NM,N,N,1001,0,0,0,0,32
ABC989393, ,1/1/2013, , , ,Verified,36,ZIP4,MA,N,N,0,0,0,0,1229,1052
ABC989393, ,2/1/2013, , , ,Verified,36,ZIP4,MA,N,N,0,0,0,0,1229,1052
ABC989393, ,3/1/2013, , , ,Verified,36,ZIP4,MA,N,N,0,0,0,0,1229,1052
ABC989410, ,1/1/2013, , , ,Verified,65,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989410, ,2/1/2013, , , ,Verified,65,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989410, ,3/1/2013, , , ,Verified,65,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989453, ,2/1/2013, , , ,Verified,37,ZIP1,NM,N,N,608,436,0,0,636,768
ABC989453, ,3/1/2013, , , ,Verified,37,ZIP1,NM,N,N,608,436,0,0,636,768
ABC989463, ,1/1/2013, , , ,Verified,60,ZIP1,DI,N,N,241,0,0,0,854,336
ABC989463, ,2/1/2013, , , ,Verified,60,ZIP1,DI,N,N,259,0,0,0,854,324
ABC989463, ,3/1/2013, , , ,Verified,60,ZIP1,DI,N,N,259,0,0,0,854,324
ABC989487, ,1/1/2013, , , ,Verified,58,ZIP2,NM,N,N,250,0,291,0,839,330
ABC989487, ,2/1/2013, , , ,Verified,58,ZIP2,NM,N,N,249,0,291,0,839,330
ABC989487, ,3/1/2013, , , ,Verified,58,ZIP2,NM,N,N,249,0,291,0,839,330
ABC989496,233,1/1/2013,233, , ,Verified,74,ZIP5,NM,N,N,822,0,0,0,641.72,32
ABC989496,233,2/1/2013,233, , ,Verified,74,ZIP5,NM,N,N,822,0,0,0,641.72,32
ABC989496,233,3/1/2013,233, , ,Verified,74,ZIP5,NM,N,N,822,0,0,0,641.72,32
ABC989517, ,1/1/2013, , , ,Verified,65,ZIP3,MA,N,N,351,0,0,0,744,270
ABC989517, ,2/1/2013, , , ,Verified,65,ZIP3,MA,N,N,369,0,0,0,744,258
ABC989517, ,3/1/2013, , , ,Verified,65,ZIP3,MA,N,N,230,0,0,0,883,342
ABC989542, ,1/1/2013, , , ,Verified,68,ZIP3,DI,N,N,293,0,0,0,1211.52,304
ABC989542, ,2/1/2013, , , ,Verified,68,ZIP3,DI,N,N,293,0,0,0,1211.52,304
ABC989542, ,3/1/2013, , , ,Verified,68,ZIP3,DI,N,N,293,0,0,0,1211.52,304
ABC989546, ,1/1/2013, , , ,Verified,61,ZIP1,WI,N,N,0,0,0,0,1154,734
ABC989546, ,2/1/2013, , , ,Verified,61,ZIP1,WI,N,N,0,0,0,0,1154,734
ABC989546, ,3/1/2013, , , ,Verified,61,ZIP1,WI,N,N,0,0,0,0,1154,734
ABC989579, ,1/1/2013, , , ,Verified,63,ZIP4,DI,N,N,538,0,0,0,879,158
ABC989579, ,2/1/2013, , , ,Verified,63,ZIP4,DI,N,N,538,0,0,0,879,158
ABC989579, ,3/1/2013, , , ,Verified,63,ZIP4,DI,N,N,612,0,0,0,879,112
ABC989597, ,1/1/2013, , , ,Verified,59,ZIP5,MA,N,N,0,0,0,0,0,0
ABC989597, ,2/1/2013, , , ,Verified,59,ZIP5,MA,N,N,0,0,0,0,0,0
ABC989597, ,3/1/2013, , , ,Verified,59,ZIP5,MA,N,N,0,0,0,0,0,0
ABC989606, ,1/1/2013, , , ,Verified,35,ZIP2,NM,N,N,0,0,0,0,0,0
ABC989606, ,2/1/2013, , , ,Verified,35,ZIP2,NM,N,N,0,0,0,0,0,0
ABC989606, ,3/1/2013, , , ,Verified,35,ZIP2,NM,N,N,467,0,0,0,645.76,852
ABC989614, ,1/1/2013, , , ,Unverified,74,ZIP3,DI,N,N,539,0,0,0,604,156
ABC989614, ,2/1/2013, , , ,Unverified,74,ZIP3,DI,N,N,539,0,0,0,604,156
ABC989614, ,3/1/2013, , , ,Unverified,74,ZIP3,DI,N,N,539,0,0,0,604,156
ABC989672, ,1/1/2013, , , ,Verified,42,ZIP4,NM,N,N,0,0,0,0,0,0
ABC989672, ,2/1/2013, , , ,Verified,42,ZIP4,NM,N,N,604,0,0,0,650,118
ABC989672, ,3/1/2013, , , ,Verified,42,ZIP4,NM,N,N,604,0,0,0,650,118
ABC989675, ,2/1/2013, , , ,Unverified,53,ZIP3,NM,N,N,716,0,0,0,302,50
ABC989675, ,3/1/2013, , , ,Unverified,53,ZIP3,NM,N,N,716,0,0,0,302,50
ABC989680, ,1/1/2013, , , ,Verified,64,ZIP3,DI,N,N,307,0,0,177.7,753,296
ABC989680, ,2/1/2013, , , ,Verified,64,ZIP3,DI,N,N,325,0,0,177.7,753,286
ABC989680, ,3/1/2013, , , ,Verified,64,ZIP3,DI,N,N,325,0,0,177.7,753,286
ABC989703, ,1/1/2013, , , ,Verified,63,ZIP2,MA,N,N,381,0,0,0,828.58,586
ABC989703, ,2/1/2013, , , ,Verified,63,ZIP2,MA,N,N,381,0,0,0,828.58,586
ABC989703, ,3/1/2013, , , ,Verified,63,ZIP2,MA,N,N,398,0,0,0,828.58,576
ABC989724, ,1/1/2013, , , ,Verified,49,ZIP5,DI,N,N,0,0,0,0,1004,400
ABC989724, ,2/1/2013, , , ,Verified,49,ZIP5,DI,N,N,0,0,0,0,1004,400
ABC989724, ,3/1/2013, , , ,Verified,49,ZIP5,DI,N,N,0,0,0,0,1004,400
ABC989737, ,1/1/2013, , , ,Verified,67,ZIP1,DI,N,N,0,0,0,0,0,0
ABC989737, ,2/1/2013, , , ,Verified,67,ZIP1,DI,N,N,0,0,0,0,0,0
ABC989737, ,3/1/2013, , , ,Verified,67,ZIP1,DI,N,N,279,0,0,0,864.07,312
ABC989761, ,1/1/2013, , , ,Verified,56,ZIP3,DI,N,N,0,0,0,0,0,0
ABC989761, ,2/1/2013, , , ,Verified,56,ZIP3,DI,N,N,0,0,0,0,0,0
ABC989761, ,3/1/2013, , , ,Verified,56,ZIP3,DI,N,N,0,0,0,0,0,0
ABC989787, ,1/1/2013, , , ,Verified,72,ZIP1,DI,N,N,371,0,0,0,754,258
ABC989787, ,2/1/2013, , , ,Verified,72,ZIP1,DI,N,N,371,0,0,0,754,258
ABC989787, ,3/1/2013, , , ,Verified,72,ZIP1,DI,N,N,389,0,0,0,754,246
ABC989789, ,1/1/2013, , , ,Verified,68,ZIP1,WI,N,N,401,0,532,0,666.99,240
ABC989789, ,2/1/2013, , , ,Verified,68,ZIP1,WI,N,N,1260,0,0,0,666.99,0
ABC989798, ,1/1/2013, , , ,Verified,46,ZIP4,DI,N,N,0,0,0,0,0,0
ABC989798, ,2/1/2013, , , ,Verified,46,ZIP4,DI,N,N,0,0,0,0,0,0
ABC989798, ,3/1/2013, , , ,Verified,46,ZIP4,DI,N,N,349,0,0,0,764,270
ABC989849, ,1/1/2013, , , ,Verified,65,ZIP5,MA,N,N,759,0,149,0,908.58,358
ABC989849, ,2/1/2013, , , ,Verified,65,ZIP5,MA,N,N,786,0,149,0,908.58,342
ABC989849, ,3/1/2013, , , ,Verified,65,ZIP5,MA,N,N,786,0,149,0,908.58,342
ABC989866, ,1/1/2013, , , ,Verified,68,ZIP3,NM,N,N,464,0,0,0,662,202
ABC989866, ,2/1/2013, , , ,Verified,68,ZIP3,NM,N,N,464,0,0,0,662,202
ABC989885, ,1/1/2013, , , ,Verified,27,ZIP4,NM,N,,0,0,0,0,0,0
ABC989885, ,3/1/2013, , , ,Verified,27,ZIP4,NM,N,,0,0,0,0,176,400
ABC989894,422,1/1/2013,422, , ,Verified,72,ZIP2,MA,N,N,1237,0,0,0,804,72
ABC989894,422,2/1/2013,422, , ,Verified,72,ZIP2,MA,N,N,1237,0,0,0,804,72
ABC989894,422,3/1/2013,422, , ,Verified,72,ZIP2,MA,N,N,1237,0,0,0,804,72
ABC989898, ,1/1/2013, , , ,Verified,63,ZIP5,DI,N,N,0,0,399,0,1054,400
ABC989898, ,2/1/2013, , , ,Verified,63,ZIP5,DI,N,N,0,0,399,0,1054,400
ABC989898, ,3/1/2013, , , ,Verified,63,ZIP5,DI,N,N,0,0,414,0,1054,400
ABC989946, ,1/1/2013, , , ,Verified,39,ZIP1,NM,N,N,0,0,0,0,0,400
