ID,,Benefit_Amt
ABC993703,3/1/2013,704
ABC993713,1/1/2013,363
ABC993713,2/1/2013,363
ABC993713,3/1/2013,0
ABC993724,1/1/2013,0
ABC993724,2/1/2013,0
ABC993724,3/1/2013,0
ABC993727,1/1/2013,323
ABC993727,2/1/2013,323
ABC993747,1/1/2013,0
ABC993747,2/1/2013,0
ABC993757,1/1/2013,542
ABC993757,2/1/2013,649
ABC993757,3/1/2013,649
ABC993819,2/1/2013,323
ABC993819,3/1/2013,323
ABC993821,1/1/2013,490
ABC993821,2/1/2013,490
ABC993821,3/1/2013,490
ABC993839,1/1/2013,323
ABC993839,2/1/2013,323
ABC993839,3/1/2013,323
ABC993916,2/1/2013,323
ABC993916,3/1/2013,323
ABC993929,1/1/2013,791
ABC993929,2/1/2013,791
ABC993929,3/1/2013,791
ABC993951,1/1/2013,727
ABC993951,2/1/2013,727
ABC993951,3/1/2013,727
ABC993959,1/1/2013,403
ABC993959,2/1/2013,403
ABC993959,3/1/2013,403
ABC993965,1/1/2013,0
ABC993965,2/1/2013,0
ABC993965,3/1/2013,0
ABC993978,2/1/2013,349
ABC993978,3/1/2013,342
ABC993985,1/1/2013,323
ABC993985,2/1/2013,323
ABC993985,3/1/2013,323
ABC993986,1/1/2013,376
ABC993986,2/1/2013,376
ABC993986,3/1/2013,376
ABC994035,1/1/2013,490
ABC994035,2/1/2013,490
ABC994035,3/1/2013,490
ABC994090,1/1/2013,791
ABC994090,2/1/2013,791
ABC994090,3/1/2013,791
ABC994093,1/1/2013,228
ABC994093,2/1/2013,228
ABC994093,3/1/2013,228
ABC994102,1/1/2013,139
ABC994102,2/1/2013,139
ABC994102,3/1/2013,139
ABC994127,1/1/2013,587
ABC994127,2/1/2013,587
ABC994127,3/1/2013,587
ABC994128,1/1/2013,0
ABC994128,2/1/2013,0
ABC994128,3/1/2013,0
ABC994132,1/1/2013,0
ABC994132,2/1/2013,0
ABC994132,3/1/2013,0
ABC994136,1/1/2013,0
ABC994136,2/1/2013,0
ABC994136,3/1/2013,0
ABC994138,1/1/2013,323
ABC994138,2/1/2013,323
ABC994138,3/1/2013,323
ABC994144,1/1/2013,331
ABC994145,1/1/2013,323
ABC994145,2/1/2013,323
ABC994145,3/1/2013,323
ABC994151,2/1/2013,288
ABC994151,3/1/2013,288
ABC994156,1/1/2013,323
ABC994156,2/1/2013,323
ABC994156,3/1/2013,323
ABC994159,1/1/2013,139
ABC994159,2/1/2013,139
ABC994159,3/1/2013,139
ABC994166,1/1/2013,323
ABC994166,2/1/2013,323
ABC994166,3/1/2013,323
ABC994178,2/1/2013,323
ABC994178,3/1/2013,323
ABC994186,1/1/2013,0
ABC994186,2/1/2013,0
ABC994194,1/1/2013,414
ABC994194,2/1/2013,414
ABC994194,3/1/2013,490
ABC994198,1/1/2013,323
ABC994198,2/1/2013,490
ABC994198,3/1/2013,490
ABC994199,1/1/2013,322
ABC994199,2/1/2013,322
ABC994199,3/1/2013,322
ABC994201,2/1/2013,323
ABC994201,3/1/2013,323
ABC994239,1/1/2013,0
ABC994246,1/1/2013,407
ABC994255,1/1/2013,378
ABC994255,2/1/2013,378
ABC994255,3/1/2013,378
ABC994261,1/1/2013,584
ABC994261,2/1/2013,584
