ID,Benefit_Amt,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Number_Adults,Number_Children
ABC993481,0,518,2/1/2013, , ,518,Unverified,28,ZIP4,MA,N,N,1672,0,0,0,1129,0,2,0
ABC993481,0,518,3/1/2013, , ,518,Unverified,28,ZIP4,MA,N,N,1672,0,0,0,1129,0,2,0
ABC993533,597, ,1/1/2013, , , ,Unverified,28,ZIP2,NM,N,N,779,0,0,0,1547,948,1,3
ABC993533,597, ,2/1/2013, , , ,Unverified,28,ZIP2,NM,N,N,779,0,0,0,1547,948,1,3
ABC993533,572, ,3/1/2013, , , ,Unverified,28,ZIP2,NM,N,N,862,0,0,0,1079,898,1,3
ABC993558,323, ,1/1/2013, , , ,Verified,24,ZIP3,NM,N,N,0,0,0,0,0,400,2,1
ABC993558,323, ,2/1/2013, , , ,Verified,24,ZIP3,NM,N,N,0,0,0,0,0,400,2,1
ABC993558,323, ,3/1/2013, , , ,Verified,24,ZIP3,NM,N,N,0,0,0,0,0,400,2,1
ABC993598,323, ,3/1/2013, , , ,Verified,24,ZIP4,NM,N,N,0,0,0,0,0,400,1,0
ABC993609,323, ,1/1/2013, , , ,Unverified,25,ZIP4,NM,N,N,0,0,0,0,0,400,1,0
ABC993609,323, ,2/1/2013, , , ,Unverified,25,ZIP4,NM,N,N,0,0,0,0,0,400,1,0
ABC993609,323, ,3/1/2013, , , ,Unverified,25,ZIP4,NM,N,N,0,0,0,0,0,400,1,0
ABC993610,490, ,1/1/2013, , , ,Verified,28,ZIP4,NM,N,N,0,38,0,0,844,734,1,1
ABC993610,490, ,2/1/2013, , , ,Verified,28,ZIP4,NM,N,N,0,38,0,0,844,734,1,1
ABC993610,490, ,3/1/2013, , , ,Verified,28,ZIP4,NM,N,N,0,38,0,0,844,734,1,1
ABC993659,356, ,1/1/2013, , , ,Verified,28,ZIP1,MA,N,N,0,0,0,305.89,1379,1336,2,2
ABC993659,356, ,2/1/2013, , , ,Verified,28,ZIP1,MA,N,N,0,0,0,305.89,1379,1336,2,2
ABC993659,356,118,3/1/2013,118,, ,Verified,28,ZIP1,MA,N,N,1583,0,0,305.89,1379,466,2,2
ABC993684,649, ,1/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,0,2,1
ABC993684,649, ,2/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,0,2,1
ABC993684,649, ,3/1/2013, , , ,Verified,24,ZIP1,NM,N,N,0,0,0,0,0,0,2,1
ABC993685,280, ,2/1/2013, , , ,Verified,24,ZIP3,NM,N,N,1362,0,0,0,714,314,2,1
ABC993685,280, ,3/1/2013, , , ,Verified,24,ZIP3,NM,N,N,1362,0,0,0,714,314,2,1
ABC993689,490, ,1/1/2013, , , ,Verified,26,ZIP2,NM,N,N,0,0,0,0,604,734,2,1
ABC993689,490, ,2/1/2013, , , ,Verified,26,ZIP2,NM,N,N,0,0,0,0,604,734,2,1
ABC993689,490, ,3/1/2013, , , ,Verified,26,ZIP2,NM,N,N,0,0,0,0,604,734,2,1
ABC993691,323, ,1/1/2013, , , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC993691,0,233,2/1/2013,233, , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993691,0,233,3/1/2013,233, , ,Unverified,27,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993693,323, ,3/1/2013, , , ,Verified,25,ZIP2,,N,N,0,0,0,0,0,400,1,0
ABC993696,564, ,1/1/2013, , , ,Verified,28,ZIP2,NM,N,N,1306,0,0,0,779,882,2,3
ABC993696,416, ,2/1/2013, , , ,Verified,28,ZIP2,NM,N,N,1382,0,0,0,779,586,2,3
ABC993696,416, ,3/1/2013, , , ,Verified,28,ZIP2,NM,N,N,1382,0,0,0,779,586,2,3
ABC993702,0, ,1/1/2013, , , ,Unverified,26,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC993702,323, ,3/1/2013, , , ,Unverified,26,ZIP2,NM,N,N,0,0,0,0,0,400,1,0
ABC993703,704, ,1/1/2013, , , ,Verified,24,ZIP2,NM,N,N,423,0,0,0,604,1162,2,4
ABC993703,704, ,2/1/2013, , , ,Verified,24,ZIP2,NM,N,N,423,0,0,0,604,1162,2,4
ABC993703,704, ,3/1/2013, , , ,Verified,24,ZIP2,NM,N,N,423,0,0,0,604,1162,2,4
ABC993713,363, ,1/1/2013, , , ,Verified,26,ZIP5,NM,N,N,0,0,0,0,0,0,2,1
