ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Benefit_Amt,KEY,No_Adults,No_Children
ABC994720, ,1/1/2013, , , ,Unverified,69.0,ZIP4,DI,N,N,192,0,0.0,0.0,1204.0,364,305,ABC994720,1,0
ABC994720, ,2/1/2013, , , ,Unverified,69.0,ZIP4,DI,N,N,192,0,0.0,0.0,1204.0,364,305,ABC994720,1,0
ABC994720, ,3/1/2013, , , ,Unverified,69.0,ZIP4,DI,N,N,192,0,0.0,0.0,1204.0,364,305,ABC994720,1,0
ABC994736, ,1/1/2013, , , ,Verified,63.0,ZIP5,DI,N,N,439,0,0.0,0.0,704.0,216,231,ABC994736,1,0
ABC994736, ,2/1/2013, , , ,Verified,63.0,ZIP5,DI,N,N,439,0,0.0,0.0,704.0,216,231,ABC994736,1,0
ABC994736, ,3/1/2013, , , ,Verified,63.0,ZIP5,DI,N,N,439,0,0.0,0.0,704.0,216,231,ABC994736,1,0
ABC994754, ,1/1/2013, , , ,Verified,36.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,582,ABC994754,2,3
ABC994754, ,2/1/2013, , , ,Verified,36.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,582,ABC994754,2,3
ABC994754, ,3/1/2013, , , ,Verified,36.0,ZIP4,DI,N,N,0,0,0.0,0.0,0.0,0,582,ABC994754,2,3
ABC994757, ,1/1/2013, , , ,Verified,36.0,ZIP1,NM,N,N,243,0,0.0,0.0,604.0,1270,758,ABC994757,2,3
ABC994757, ,2/1/2013, , , ,Verified,36.0,ZIP1,NM,N,N,243,0,0.0,0.0,604.0,1270,758,ABC994757,2,3
ABC994757, ,3/1/2013, , , ,Verified,36.0,ZIP1,NM,N,N,543,0,0.0,0.0,604.0,1090,668,ABC994757,2,3
ABC994799, ,1/1/2013, , , ,Verified,28.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC994799,1,0
ABC994799, ,2/1/2013, , , ,Verified,28.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC994799,1,0
ABC994799, ,3/1/2013, , , ,Verified,28.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC994799,1,0
ABC994811, ,1/1/2013, , , ,Unverified,65.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,0,323,ABC994811,1,0
ABC994811, ,2/1/2013, , , ,Unverified,65.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,0,323,ABC994811,1,0
ABC994811, ,3/1/2013, , , ,Unverified,65.0,ZIP4,NM,N,N,0,0,0.0,0.0,0.0,0,323,ABC994811,1,0
ABC994874, ,2/1/2013, , , ,Unverified,52.0,ZIP1,DI,N,N,696,0,0.0,0.0,335.0,62,154,ABC994874,1,0
ABC994874, ,3/1/2013, , , ,Unverified,52.0,ZIP1,DI,N,N,696,0,0.0,0.0,335.0,62,154,ABC994874,1,0
ABC994877, ,1/1/2013, , , ,Verified,43.0,ZIP1,DI,N,N,421,0,0.0,0.0,804.0,562,404,ABC994877,1,1
ABC994877, ,2/1/2013, , , ,Verified,43.0,ZIP1,DI,N,N,421,0,0.0,0.0,804.0,562,404,ABC994877,1,1
ABC994877, ,3/1/2013, , , ,Verified,43.0,ZIP1,DI,N,N,421,0,0.0,0.0,804.0,562,404,ABC994877,1,1
ABC994898, ,2/1/2013, , , ,Verified,70.0,ZIP1,DI,N,N,374,0,0.0,0.0,770.0,256,251,ABC994898,1,0
